<<<<<<< HEAD
点群が入力されてopen3dへ変換するまでの時間は : 0.15726542472839355秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016024112701416016秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15224218368530273秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015819072723388672秒
点群が入力されてopen3dへ変換するまでの時間は : 0.157670259475708秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015103816986083984秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16966700553894043秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017080307006835938秒
点群が入力されてopen3dへ変換するまでの時間は : 0.198775053024292秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001584768295288086秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15276217460632324秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0020351409912109375秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15806055068969727秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017638206481933594秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16079306602478027秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017764568328857422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1663362979888916秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0021524429321289062秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1630396842956543秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016970634460449219秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16196298599243164秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018813610076904297秒
点群が入力されてopen3dへ変換するまでの時間は : 0.154036283493042秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015993118286132812秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15883517265319824秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017004013061523438秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16010832786560059秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0021402835845947266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15230584144592285秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014958381652832031秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16092300415039062秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014712810516357422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.2170114517211914秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001800537109375秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1540372371673584秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015840530395507812秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15415549278259277秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015358924865722656秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15633893013000488秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017423629760742188秒
点群が入力されてopen3dへ変換するまでの時間は : 0.2181243896484375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018494129180908203秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16304969787597656秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0019266605377197266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16046500205993652秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001691579818725586秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18047547340393066秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016512870788574219秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15619444847106934秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015914440155029297秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15836596488952637秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016274452209472656秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16166186332702637秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001596212387084961秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17069053649902344秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015654563903808594秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1936478614807129秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017910003662109375秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1568431854248047秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001458883285522461秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16550993919372559秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014994144439697266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.2192554473876953秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016620159149169922秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16064667701721191秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001550436019897461秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1633608341217041秒
ネットワークから姿勢データを得るまでの時間は　 : 0.21268820762634277秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15407538414001465秒
ネットワークから姿勢データを得るまでの時間は　 : 0.19744539260864258秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17982912063598633秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015926361083984375秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1620466709136963秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016176700592041016秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1552116870880127秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018315315246582031秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16664648056030273秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015659332275390625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15660595893859863秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015997886657714844秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16676807403564453秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001478433609008789秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1518254280090332秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001659393310546875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15958094596862793秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015459060668945312秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1537322998046875秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014803409576416016秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15683913230895996秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014679431915283203秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15430855751037598秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001485586166381836秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15802931785583496秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015327930450439453秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1549534797668457秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016617774963378906秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15958023071289062秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016484260559082031秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16518640518188477秒
ネットワークから姿勢データを得るまでの時間は　 : 0.00194549560546875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.2178952693939209秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001562356948852539秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16143298149108887秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016536712646484375秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16581177711486816秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018885135650634766秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1945786476135254秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016129016876220703秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15664410591125488秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015735626220703125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17061662673950195秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0019648075103759766秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17637062072753906秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015530586242675781秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1588590145111084秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018067359924316406秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16026687622070312秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016829967498779297秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20658493041992188秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0019366741180419922秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15413570404052734秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015976428985595703秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1521010398864746秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015993118286132812秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1536109447479248秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017046928405761719秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15343976020812988秒
ネットワークから姿勢データを得るまでの時間は　 : 0.00159454345703125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15632271766662598秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015883445739746094秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15203475952148438秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016086101531982422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15609025955200195秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014445781707763672秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15303778648376465秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016181468963623047秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16025209426879883秒
ネットワークから姿勢データを得るまでの時間は　 : 0.00185394287109375秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1605391502380371秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016634464263916016秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16138458251953125秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015411376953125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15562820434570312秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016672611236572266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15880799293518066秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015208721160888672秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1600797176361084秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001600503921508789秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15725064277648926秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014433860778808594秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1558980941772461秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014963150024414062秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1595141887664795秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015196800231933594秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16606831550598145秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015342235565185547秒
点群が入力されてopen3dへ変換するまでの時間は : 0.25778770446777344秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0020067691802978516秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20573973655700684秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014965534210205078秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1564338207244873秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018177032470703125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1571059226989746秒
ネットワークから姿勢データを得るまでの時間は　 : 0.00162506103515625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18690752983093262秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001622915267944336秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1502079963684082秒
ネットワークから姿勢データを得るまでの時間は　 : 0.503394365310669秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1987903118133545秒
ネットワークから姿勢データを得るまでの時間は　 : 0.46236228942871094秒
点群が入力されてopen3dへ変換するまでの時間は : 0.14945268630981445秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48592495918273926秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15601706504821777秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5096049308776855秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15142369270324707秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48107171058654785秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15236258506774902秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48925113677978516秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1614856719970703秒
ネットワークから姿勢データを得るまでの時間は　 : 0.452242374420166秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15751171112060547秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001703500747680664秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16077041625976562秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016586780548095703秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15556859970092773秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015323162078857422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15454864501953125秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015158653259277344秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16197800636291504秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015323162078857422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15953779220581055秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015039443969726562秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1542658805847168秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015673637390136719秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15226411819458008秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018079280853271484秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1651754379272461秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015676021575927734秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15443968772888184秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001522064208984375秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1635286808013916秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016469955444335938秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1606135368347168秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015499591827392578秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1560814380645752秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017740726470947266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1563417911529541秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49056410789489746秒
点群が入力されてopen3dへ変換するまでの時間は : 0.153533935546875秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49478936195373535秒
点群が入力されてopen3dへ変換するまでの時間は : 0.22413849830627441秒
ネットワークから姿勢データを得るまでの時間は　 : 0.503119945526123秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15343785285949707秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4951446056365967秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15456843376159668秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5302708148956299秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15967845916748047秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5067794322967529秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1616513729095459秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4574589729309082秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1529083251953125秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5254862308502197秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15425372123718262秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4675745964050293秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15450716018676758秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4936363697052002秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16655921936035156秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4951968193054199秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15495991706848145秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5117607116699219秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1547260284423828秒
ネットワークから姿勢データを得るまでの時間は　 : 0.487790584564209秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1538243293762207秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4968893527984619秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1567370891571045秒
ネットワークから姿勢データを得るまでの時間は　 : 0.46436095237731934秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15362191200256348秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5095493793487549秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15091300010681152秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5042421817779541秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1549239158630371秒
ネットワークから姿勢データを得るまでの時間は　 : 0.521404504776001秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15266132354736328秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5084447860717773秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15446972846984863秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5124237537384033秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15334796905517578秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5878982543945312秒
点群が入力されてopen3dへ変換するまでの時間は : 0.27095746994018555秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5105240345001221秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15619492530822754秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5358729362487793秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1526799201965332秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5242505073547363秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15129828453063965秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5529294013977051秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15688490867614746秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5415163040161133秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18732023239135742秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48367738723754883秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15598726272583008秒
ネットワークから姿勢データを得るまでの時間は　 : 0.515286922454834秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15096020698547363秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47502899169921875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1919713020324707秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5003149509429932秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1558856964111328秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47222900390625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.22934842109680176秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5380003452301025秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15090680122375488秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4718968868255615秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15517449378967285秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49797534942626953秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1561121940612793秒
ネットワークから姿勢データを得るまでの時間は　 : 0.50278639793396秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16627836227416992秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49665236473083496秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15056633949279785秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5013749599456787秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15792632102966309秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5098307132720947秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1548786163330078秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5311601161956787秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15147066116333008秒
ネットワークから姿勢データを得るまでの時間は　 : 0.6677601337432861秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15650510787963867秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5199136734008789秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15744280815124512秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47580456733703613秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15960383415222168秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5139341354370117秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1639852523803711秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5671818256378174秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1558547019958496秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4926023483276367秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15262746810913086秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49394845962524414秒
点群が入力されてopen3dへ変換するまでの時間は : 0.2022082805633545秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5308804512023926秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15209674835205078秒
ネットワークから姿勢データを得るまでの時間は　 : 0.6049056053161621秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16518402099609375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5099644660949707秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15732741355895996秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5164244174957275秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1563587188720703秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47461819648742676秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15721631050109863秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5143206119537354秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15360236167907715秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5332679748535156秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16950368881225586秒
ネットワークから姿勢データを得るまでの時間は　 : 0.45768284797668457秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16325783729553223秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4846808910369873秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15961217880249023秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5069403648376465秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15404176712036133秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5337328910827637秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1577315330505371秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4819936752319336秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15335392951965332秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5257456302642822秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1552119255065918秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4839766025543213秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1651918888092041秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47957539558410645秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15523576736450195秒
ネットワークから姿勢データを得るまでの時間は　 : 0.565570592880249秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1798410415649414秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5108656883239746秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16756033897399902秒
ネットワークから姿勢データを得るまでの時間は　 : 0.42337822914123535秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16116595268249512秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4757566452026367秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1530146598815918秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49298691749572754秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18783974647521973秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47229790687561035秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15708160400390625秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49948787689208984秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17056536674499512秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5307393074035645秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16096258163452148秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48882222175598145秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1595306396484375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4749293327331543秒
点群が入力されてopen3dへ変換するまでの時間は : 0.160203218460083秒
ネットワークから姿勢データを得るまでの時間は　 : 0.46094417572021484秒
点群が入力されてopen3dへ変換するまでの時間は : 0.152907133102417秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5557587146759033秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1519002914428711秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5381255149841309秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16077065467834473秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4951903820037842秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16735434532165527秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5096886157989502秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1736922264099121秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49198102951049805秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15603971481323242秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48236942291259766秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1778888702392578秒
ネットワークから姿勢データを得るまでの時間は　 : 0.47574496269226074秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17632746696472168秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49458789825439453秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1568448543548584秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4878566265106201秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15595650672912598秒
ネットワークから姿勢データを得るまでの時間は　 : 0.49787163734436035秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15882658958435059秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4764728546142578秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15648531913757324秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5170948505401611秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15213775634765625秒
ネットワークから姿勢データを得るまでの時間は　 : 0.475510835647583秒
点群が入力されてopen3dへ変換するまでの時間は : 0.24744081497192383秒
ネットワークから姿勢データを得るまでの時間は　 : 0.502718448638916秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15909814834594727秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4913504123687744秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15647459030151367秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5067355632781982秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16558384895324707秒
ネットワークから姿勢データを得るまでの時間は　 : 0.48422908782958984秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15419721603393555秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5106291770935059秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15447115898132324秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4825477600097656秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1526317596435547秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4938178062438965秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16095566749572754秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4795684814453125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15129637718200684秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5514657497406006秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15587806701660156秒
ネットワークから姿勢データを得るまでの時間は　 : 0.4730038642883301秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1982102394104004秒
ネットワークから姿勢データを得るまでの時間は　 : 0.5264346599578857秒
